Line Name,Voltage (kV),Substation Name,Facility Code,Planning Area,TFO,Capability (MW)
1002L,240,Amoco Empress,163S,48-Empress,AltaLink,158
1002L,240,Jenner,275S,48-Empress,AltaLink,265
1005AL,240,Little Bow,991S,49-Stavely,AltaLink,84
1005L,240,Picture Butte,120S,54-Lethbridge,AltaLink,311
1005L,240,Milo,356S,47-Brooks,AltaLink,117
100L,138,Tilley,498S,47-Brooks,AltaLink,58
100L,138,Suffield,895S,04-Medicine Hat,AltaLink,62
1011L,240,Amoco Empress,163S,48-Empress,AltaLink,158
1011L,240,Cypress,562S,48-Empress,AltaLink,158
1034L,240,Bowmanton,244S,04-Medicine Hat,AltaLink,466
1034L,240,Cassils,324S,47-Brooks,AltaLink,466
1035L,240,Newell,2075S,47-Brooks,AltaLink,466
1035L,240,Bowmanton,244S,04-Medicine Hat,AltaLink,466
1036L,240,Milo,356S,47-Brooks,AltaLink,142
1036L,240,Travers,554S,49-Stavely,AltaLink,212
1037L,240,Windy Flats,138S,53-Fort Macleod,AltaLink,418
1037L,240,Foothills,237S,46-High River,AltaLink,337
1038L,240,Windy Flats,138S,53-Fort Macleod,AltaLink,418
1038L,240,Foothills,237S,46-High River,AltaLink,337
1041L,240,North Lethbridge,370S,54-Lethbridge,AltaLink,359
1041L,240,Travers,554S,49-Stavely,AltaLink,212
1042L,240,Blackspring Ridge,485S,49-Stavely,AltaLink,197
1042L,240,Travers,554S,49-Stavely,AltaLink,197
1047L,240,Nilrem,574S,32-Wainwright,AltaLink,455
1047L,240,Hansman Lake,650S,37-Provost,AltaLink,466
1048L,240,Windy Flats,138S,53-Fort Macleod,AltaLink,384
1048L,240,Peigan,59S,53-Fort Macleod,AltaLink,423
1049L,240,Windy Flats,138S,53-Fort Macleod,AltaLink,385
1049L,240,Peigan,59S,53-Fort Macleod,AltaLink,423
1051L,240,West Brooks,28S,47-Brooks,AltaLink,466
1051L,240,Cassils,324S,47-Brooks,AltaLink,466
1052L,240,West Brooks,28S,47-Brooks,AltaLink,466
1052L,240,Cassils,324S,47-Brooks,AltaLink,466
1053L,240,Ware Junction,132S,47-Brooks,AltaLink,466
1053L,240,Cassils,324S,47-Brooks,AltaLink,466
1071L,240,Castle Rock Ridge,205S,53-Fort Macleod,AltaLink,431
1071L,240,Fidler,312S,53-Fort Macleod,AltaLink,431
1072L,240,Goose Lake,103S,53-Fort Macleod,AltaLink,429
1072L,240,Castle Rock Ridge,205S,53-Fort Macleod,AltaLink,431
1075L,240,Ware Junction,132S,47-Brooks,AltaLink,466
1075L,240,West Brooks,28S,47-Brooks,AltaLink,466
1087L,240,Newell,2075S,47-Brooks,AltaLink,466
1087L,240,Cassils,324S,47-Brooks,AltaLink,466
1088L,240,Newell,2075S,47-Brooks,AltaLink,466
1088L,240,Cassils,324S,47-Brooks,AltaLink,466
1106L,240,Foothills,237S,46-High River,AltaLink,337
1106L,240,na,SS-65,6-Calgary,Enmax,466
1107L,240,Foothills,237S,46-High River,AltaLink,337
1107L,240,na,SS-65,6-Calgary,Enmax,466
1148L,240,Shamrock,1018S,04-Medicine Hat,AltaLink,156
1148L,240,Whitla,251S,04-Medicine Hat,AltaLink,156
13L/158L,69,Black Diamond,392S,46-High River,AltaLink,16
13L/158L,69,High River,65S,46-High River,AltaLink,16
161L,138,Vulcan,255S,49-Stavely,AltaLink,36
161L,138,Queenstown,504S,45-Strathmore/Blackie,AltaLink,62
162L,69,Glenwood,229S,55-Glenwood,AltaLink,21
162L,69,Drywood,415S,55-Glenwood,AltaLink,37
164L,138,Goose Lake,103S,53-Fort Macleod,AltaLink,104
164L,138,Drywood,415S,55-Glenwood,AltaLink,122
170L,138,Coleman,799S,53-Fort Macleod,AltaLink,133
170L,138,Russell,632S,53-Fort Macleod,AltaLink,131
172EL,138,Hillridge,139S,54-Lethbridge,AltaLink,5
172L,138,Chinook,181S,54-Lethbridge,City of Lethbridge,15
172L,138,Coaldale,254S,54-Lethbridge,AltaLink,8
172L,138,Coaldale,254S,54-Lethbridge,AltaLink,8
172L,138,North Lethbridge,370S,54-Lethbridge,AltaLink,15
172L,138,North Lethbridge,370S,54-Lethbridge,AltaLink,15
172L,138,Taber,83S,52-Vauxhall,AltaLink,3
174L,138,Bardo,197S,31-Wetaskiwin,AltaLink,77
174L,138,North Holden,395S,56-Vegreville,AltaLink,89
180AL,138,Granum,604S,49-Stavely,AltaLink,28
180L,138,Fort Macleod,15S,53-Fort Macleod,AltaLink,17
180L,138,Vulcan,255S,49-Stavely,AltaLink,36
180L,138,East Stavely,928S,49-Stavely,AltaLink,30
180L,138,East Stavely,928S,49-Stavely,AltaLink,30
185AL,69,Drywood,415S,55-Glenwood,AltaLink,24
185AL,69,Rangeland Yarrow,995S,55-Glenwood,AltaLink,24
185L,69,Waterton,379S,55-Glenwood,AltaLink,93
185L,69,Waterton,379S,55-Glenwood,AltaLink,43
185L,69,Pincher Creek,396S,53-Fort Macleod,AltaLink,54
185L,69,Drywood,415S,55-Glenwood,AltaLink,74
197L,138,Stavely,349S,49-Stavely,AltaLink,30
197L,138,East Stavely,928S,49-Stavely,AltaLink,30
207L,138,Coalbanks,111S,54-Lethbridge,City of Lethbridge,15
207L,138,North Lethbridge,370S,54-Lethbridge,AltaLink,15
225AL,69,Raymond Reservoir,313S,55-Glenwood,AltaLink,10
225L,69,Magrath,225S,55-Glenwood,AltaLink,15
225L,69,Magrath,225S,55-Glenwood,AltaLink,11
225L,69,Glenwood,229S,55-Glenwood,AltaLink,21
225L,69,Spring Coulee,385S,55-Glenwood,AltaLink,18
225L,69,Spring Coulee,385S,55-Glenwood,AltaLink,18
225L,69,Stirling,67S,55-Glenwood,AltaLink,5
300L/725BL,138,McBride Lake,240S,53-Fort Macleod,AltaLink,18
398L,138,Hayter,277S,37-Provost,AltaLink,187
398L,138,Provost,545S,37-Provost,AltaLink,132
408L,138,Jarrow,252S,32-Wainwright,AltaLink,72
408L,138,Wainwright,51S,32-Wainwright,AltaLink,115
412L,138,Pincher Creek,396S,53-Fort Macleod,AltaLink,131
412L,138,Russell,632S,53-Fort Macleod,AltaLink,131
413L,138,Castle River,239S,53-Fort Macleod,AltaLink,70
413L,138,Russell,632S,53-Fort Macleod,AltaLink,70
434L,138,Foothills,237S,46-High River,AltaLink,58
434L,138,High River,65S,46-High River,AltaLink,33
463AL,138,Monarch,492S,54-Lethbridge,AltaLink,16
463L,138,Fort Macleod,15S,53-Fort Macleod,AltaLink,18
463L,138,Chinook,181S,54-Lethbridge,City of Lethbridge,15
472AL,138,Sunken Lake,221S,37-Provost,AltaLink,84
472L,138,Hughenden,213S,37-Provost,AltaLink,137
472L,138,Metiskow,648S,37-Provost,AltaLink,138
491L,138,Jarrow,252S,32-Wainwright,AltaLink,94
497L,138,Windrise,1063S,53-Fort Macleod,AltaLink,43
497L,138,Windy Flats,138S,53-Fort Macleod,AltaLink,44
507L,138,Hull,257S,52-Vauxhall,AltaLink,5
507L,138,Taber,83S,52-Vauxhall,AltaLink,3
508L,69,Warner,344S,55-Glenwood,AltaLink,9
508L,69,Stirling,67S,55-Glenwood,AltaLink,9
514BL,69,Cowley Ridge,322S,53-Fort Macleod,AltaLink,7
514L,69,Pincher Creek,396S,53-Fort Macleod,AltaLink,7
514L,69,Lundbreck,513S,53-Fort Macleod,AltaLink,7
591L,69,Waterton,379S,55-Glenwood,AltaLink,50
591L,69,Shell Waterton,502S,55-Glenwood,AltaLink,50
600L,138,Peace Butte,404S,04-Medicine Hat,AltaLink,111
600L,138,Bullshead,523S,04-Medicine Hat,AltaLink,109
601L,138,Wardlow,230S,48-Empress,AltaLink,87
601L,138,Jenner,275S,48-Empress,AltaLink,86
603L,138,Windy Flats,138S,53-Fort Macleod,AltaLink,42
603L,138,Soderglen,243S,53-Fort Macleod,AltaLink,43
607AL,138,Taber Wind Farm,134S,52-Vauxhall,AltaLink,2
607L,138,Conrad,135S,52-Vauxhall,AltaLink,2
607L,138,Fincastle,336S,52-Vauxhall,AltaLink,2
608AL,138,Blue Trail,528S,53-Fort Macleod,AltaLink,40
608L,138,Windy Flats,138S,53-Fort Macleod,AltaLink,40
608L,138,Ardenville Wind Farm,418S,53-Fort Macleod,AltaLink,41
610L,138,Fincastle,336S,52-Vauxhall,AltaLink,2
610L,138,Taber,83S,52-Vauxhall,AltaLink,3
612L,138,Fincastle,336S,52-Vauxhall,AltaLink,2
612L,138,Burdett,368S,52-Vauxhall,AltaLink,1
613L,138,Goose Lake,103S,53-Fort Macleod,AltaLink,106
613L,138,Pincher Creek,396S,53-Fort Macleod,AltaLink,131
616AL,138,Kettle's Hill,383S,53-Fort Macleod,AltaLink,111
616L,138,Goose Lake,103S,53-Fort Macleod,AltaLink,137
616L,138,Peigan,59S,53-Fort Macleod,AltaLink,93
624L,138,Fidler,312S,53-Fort Macleod,AltaLink,21
624L,138,Summerview,354S,53-Fort Macleod,AltaLink,21
646L,138,Foothills,237S,46-High River,AltaLink,58
646L,138,Okotoks,678S,46-High River,AltaLink,34
658AL,138,Hilda,662S,48-Empress,AltaLink,60
658L,138,Cypress,562S,48-Empress,AltaLink,58
658L,138,Chappice Lake,649S,04-Medicine Hat,AltaLink,35
666L,138,West Brooks,28S,47-Brooks,AltaLink,109
666L,138,Tilley,498S,47-Brooks,AltaLink,127
667L,138,Macdonald,146S,54-Lethbridge,City of Lethbridge,15
667L,138,North Lethbridge,370S,54-Lethbridge,AltaLink,15
668L,138,Empress,394S,48-Empress,AltaLink,78
668L,138,Cypress,562S,48-Empress,AltaLink,120
669L,138,Amoco Empress,163S,48-Empress,AltaLink,124
669L,138,Cypress,562S,48-Empress,AltaLink,120
674L,138,Bowmanton,244S,04-Medicine Hat,AltaLink,35
674L,138,Chappice Lake,649S,04-Medicine Hat,AltaLink,35
675L,138,Bowmanton,244S,04-Medicine Hat,AltaLink,267
675L,138,Al Rothbauer,321S,04-Medicine Hat,AltaLink,220
676L,138,Bowmanton,244S,04-Medicine Hat,AltaLink,268
676L,138,Bullshead,523S,04-Medicine Hat,AltaLink,214
679L,138,Tucuman,478S,32-Wainwright,AltaLink,165
679L,138,Nilrem,574S,32-Wainwright,AltaLink,224
680L,138,Tucuman,478S,32-Wainwright,AltaLink,165
680L,138,Nilrem,574S,32-Wainwright,AltaLink,224
681L,138,Hardisty,377S,32-Wainwright,AltaLink,220
681L,138,Tucuman,478S,32-Wainwright,AltaLink,211
691L,138,Chestermere,419S,6-Calgary,AltaLink,3
691L,138,Janet,74S,6-Calgary,AltaLink,2
696L/7L696,138,Lakesend,508S,42-Hanna,AltaLink,87
696L/7L696,138,Ribstone Creek,892S,42-Hanna,ATCO,85
6L02,69,Battle River,757S,36-Alliance/Battle River,ATCO,56
6L02,69,Mannix Mine,765S,36-Alliance/Battle River,ATCO,55
6L02,69,Mannix Mine,765S,36-Alliance/Battle River,ATCO,58
6L02,69,Stettler,769S,42-Hanna,ATCO,66
6L02,69,Marion Lake,873S,42-Hanna,ATCO,91
6L02,69,Marion Lake,873S,42-Hanna,ATCO,82
6L03,69,Battle River,757S,36-Alliance/Battle River,ATCO,53
6L03,69,Sullivan Lake,775S,42-Hanna,ATCO,41
6L05,69,Battle River,757S,36-Alliance/Battle River,ATCO,58
6L05,69,Heisler,764S,36-Alliance/Battle River,ATCO,42
6L05,69,Big Knife Creek,843S,36-Alliance/Battle River,ATCO,59
6L05,69,Big Knife Creek,843S,36-Alliance/Battle River,ATCO,46
6L08,69,Bigfoot,756S,36-Alliance/Battle River,ATCO,49
6L08,69,Battle River,757S,36-Alliance/Battle River,ATCO,48
6L09,69,Hanna,763S,42-Hanna,ATCO,18
6L09,69,Oyen,767S,42-Hanna,ATCO,19
6L09,69,Youngstown,772S,42-Hanna,ATCO,23
6L09,69,Youngstown,772S,42-Hanna,ATCO,23
6L09,69,Richdale,776S,42-Hanna,ATCO,22
6L09,69,Richdale,776S,42-Hanna,ATCO,20
6L12,69,Sullivan Lake,775S,42-Hanna,ATCO,14
6L15,69,Hanna,763S,42-Hanna,ATCO,20
6L15,69,Sullivan Lake,775S,42-Hanna,ATCO,16
6L17,69,Castor,759S,42-Hanna,ATCO,55
6L21,69,Youngstown Express,2037S,42-Hanna,ATCO,17
6L25,69,Coronation,773S,42-Hanna,ATCO,15
6L44,69,Stettler,769S,42-Hanna,ATCO,8
6L44,69,Big Valley,778S,42-Hanna,ATCO,8
6L56,69,Hanna,763S,42-Hanna,ATCO,22
6L56,69,Michichi Creek,802S,42-Hanna,ATCO,32
701L,138,Strome,223S,56-Vegreville,AltaLink,136
701L,138,North Holden,395S,56-Vegreville,AltaLink,81
701L/7L701,138,Strome,223S,56-Vegreville,AltaLink,135
702L,138,Sedgewick,137S,32-Wainwright,AltaLink,97
702L,138,Hardisty,377S,32-Wainwright,AltaLink,65
702L/7L702,138,Sedgewick,137S,32-Wainwright,AltaLink,97
702L/7L702,138,Battle River,757S,36-Alliance/Battle River,ATCO,114
703BL,138,HRT Express,329S,32-Wainwright,AltaLink,107
703L,138,Hughenden,213S,37-Provost,AltaLink,137
703L,138,Hardisty,377S,32-Wainwright,AltaLink,105
704L,138,Tucuman,478S,32-Wainwright,AltaLink,86
704L,138,Wainwright,51S,32-Wainwright,AltaLink,77
715AL,138,Hansman Lake,650S,37-Provost,AltaLink,107
715L,138,Provost,545S,37-Provost,AltaLink,134
722L,138,Westfield,107S,52-Vauxhall,AltaLink,1
722L,138,Burdett,368S,52-Vauxhall,AltaLink,1
725AL,138,Riverbend,618S,54-Lethbridge,AltaLink,15
725L,138,Coalbanks,111S,54-Lethbridge,City of Lethbridge,15
725L,138,Fort Macleod,15S,53-Fort Macleod,AltaLink,18
725L,138,Bowron,674S,54-Lethbridge,City of Lethbridge,16
725L,138,Bowron,674S,54-Lethbridge,City of Lethbridge,16
727AL,138,Magcan,142S,46-High River,AltaLink,34
727L,138,High River,65S,46-High River,AltaLink,33
727L,138,Okotoks,678S,46-High River,AltaLink,34
733L,138,Strathmore,151S,45-Strathmore/Blackie,AltaLink,4
733L,138,Gleichen,179S,45-Strathmore/Blackie,AltaLink,6
733L,138,Namaka,428S,45-Strathmore/Blackie,AltaLink,5
733L,138,Namaka,428S,45-Strathmore/Blackie,AltaLink,5
734L,138,Uplands,241S,54-Lethbridge,City of Lethbridge,15
734L,138,North Lethbridge,370S,54-Lethbridge,AltaLink,15
748L,138,Killarney Lake,267S,37-Provost,AltaLink,134
748L,138,Hayter,277S,37-Provost,AltaLink,187
749AL,138,Killarney Lake,267S,37-Provost,AltaLink,157
